"First","Last","Player","Team","Season","Min","Shots","SoT","Dist","Solo","Goals","xG","xPlace","G.xG","KeyP","Dist.key","Assts","xA","A.xA","xG.xA","xGperShot","xAperPass","GmxGperShot","AmxAperPass"
"Erick","Torres","Erick Torres","HOU",2017,2111,72,26,18.5435989512655,0.347222222222222,14,13.5780477790041,-1.23599427234863,0.421952220995925,40,22.5407588469304,3,3.0632554603031,-0.0632554603030972,16.6413032393072,0.188583996930612,0.0765813865075774,0.0058604475138323,-0.00158138650757743
"Dominic","Dwyer","Dominic Dwyer","SKC",2015,2691,96,37,15.3359972012247,0.125,12,14.9070653000445,-0.87581923277795,-2.9070653000445,19,26.4216031597896,0,1.62664476971171,-1.62664476971171,16.5337100697562,0.155281930208797,0.0856128826164058,-0.0302819302087969,-0.0856128826164058
"Fredy","Montero","Fredy Montero","SEA",2012,NA,126,46,23.0019856635238,0.26984126984127,13,12.8525947529781,1.13403721334562,0.147405247021873,33,20.5033829321212,5,3.63269570413118,1.36730429586882,16.4852904571093,0.102004720261731,0.110081688003975,0.00116988291287201,0.0414334635111763
"Javier","Morales","Javier Morales","RSL",2014,NA,64,19,26.4030147717188,0.46875,9,7.34091247079745,0.862893372452492,1.65908752920255,98,20.2814533709898,12,9.06131692109594,2.93868307890406,16.4022293918934,0.11470175735621,0.0924624175622034,0.0259232426437898,0.0299865620296333
"Fredy","Montero","Fredy Montero","SEA",2011,NA,108,42,24.5889577287685,0.314814814814815,12,10.6175334483495,1.78634455950648,1.3824665516505,42,17.2707561859048,7,5.64406551650413,1.35593448349587,16.2615989648536,0.0983104948921251,0.134382512297717,0.0128006162189861,0.0322841543689493
"Benny","Feilhaber","Benny Feilhaber","SKC",2015,2882,48,17,24.7182771353768,0.354166666666667,10,6.28281874656209,0.929812239319612,3.71718125343791,70,18.342502216575,11,9.96264593213471,1.03735406786529,16.2454646786968,0.130892057220044,0.14232351331621,0.0774412761132898,0.014819343826647
"Giles","Barnes","Giles Barnes","HOU",2014,NA,113,42,20.5920719048496,0.15929203539823,11,12.257783048149,1.79517172311801,-1.25778304814905,37,21.4983125137568,5,3.97987632205572,1.02012367794428,16.2376593702048,0.10847595617831,0.107564224920425,-0.0111308234349473,0.0275709102147101
"Lee","Nguyen","Lee Nguyen","NER",2017,2656,49,23,21.7550525789966,0.285714285714286,11,8.12104033567485,1.31437528952013,2.87895966432515,87,17.0680587894949,9,8.04648172257182,0.953518277428182,16.1675220582467,0.165735517054589,0.092488295661745,0.0587542788637785,0.0109599802003239
"Dominic","Oduro","Dominic Oduro","HOU, CHI",2011,NA,78,39,19.9202279484103,0.102564102564103,12,13.3463788251707,-1.84780359736927,-1.34637882517074,35,24.3243780275429,2,2.7983276188527,-0.7983276188527,16.1447064440234,0.171107420835522,0.0799522176815057,-0.0172612669893684,-0.0228093605386486
"Mauro","Manotas","Mauro Manotas","HOU",2017,2200,71,35,17.6801891260105,0.0985915492957746,10,12.0584246308913,-0.152099693613586,-2.05842463089131,35,22.039053096349,5,3.9883837274115,1.0116162725885,16.0468083583028,0.169836966632272,0.113953820783186,-0.0289918962097367,0.0289033220739571
"Sebastian","Giovinco","Sebastian Giovinco","TOR",2017,2162,126,51,25.5862811492071,0.404761904761905,16,12.0636987768903,3.05700493133395,3.93630122310965,31,17.7984408030146,6,3.58735109966731,2.41264890033269,15.6510498765577,0.0957436410864313,0.115721003215075,0.0312404858976957,0.0778273838816995
"Marco","Di Vaio","Marco Di Vaio","MTL",2013,NA,118,53,20.3415295864068,0.254237288135593,20,13.3845492694494,5.20216130911569,6.61545073055059,25,22.41065105836,2,2.26524366104299,-0.26524366104299,15.6497929304924,0.113428383639402,0.0906097464417196,0.056063141784327,-0.0106097464417196
"Sebastien","Le Toux","Sebastien Le Toux","PHI",2014,NA,50,21,18.54311523192,0.3,12,10.3480298063385,-1.01567576464963,1.6519701936615,40,14.410405496,5,5.21196814655263,-0.211968146552632,15.5599979528911,0.20696059612677,0.130299203663816,0.0330394038732299,-0.00529920366381579
"Kaka","Kaka","Kaka","ORL",2016,2069,62,29,20.0625699570126,0.387096774193548,9,9.25383235177321,1.56405655988006,-0.25383235177321,48,17.0621906338472,9,6.22955480086846,2.77044519913154,15.4833871526417,0.149255360512471,0.129782391684759,-0.00409407018989048,0.0577176083152405
"Hector","Villalba","Hector Villalba","ATL",2017,2827,87,44,22.1528034098191,0.275862068965517,13,9.36277627605887,3.18158292427686,3.63722372394113,42,18.911054265531,9,6.04644883532448,2.95355116467552,15.4092251113834,0.107618118115619,0.143963067507726,0.0418071692407026,0.0703226467779885
"Quincy","Amarikwa","Quincy Amarikwa","CHI, SJE",2015,2302,77,24,18.7942306676828,0.207792207792208,6,10.4796561195045,-2.73367884373406,-4.47965611950452,38,20.1278453221403,5,4.83263922260844,0.167360777391564,15.312295342113,0.136099430123435,0.127174716384433,-0.0581773522013574,0.00440423098398852
"Joao","Plata","Joao Plata","RSL",2016,2606,77,32,19.9391830375655,0.311688311688312,9,9.99974984904623,0.658413006257101,-0.999749849046232,59,18.1345435916306,8,5.30503887538468,2.69496112461532,15.3047887244309,0.129866881156445,0.0899159131421132,-0.0129837642733277,0.0456773071968699
"David","Accam","David Accam","CHI",2017,2250,66,36,20.0131447820142,0.287878787878788,14,9.62941867910195,1.32316634034584,4.37058132089805,43,16.6208928349734,6,5.64969240920705,0.35030759079295,15.279111088309,0.145900283016696,0.131388195562955,0.0662209291045159,0.00814668815797557
"Clint","Dempsey","Clint Dempsey","SEA",2015,1819,61,27,17.4279586436737,0.327868852459016,10,10.2205041853796,0.386256689644791,-0.220504185379631,29,18.2945396674175,9,5.05217487184567,3.94782512815433,15.2726790572253,0.16754924894065,0.174212926615368,-0.00361482271114148,0.136131900970839
"Octavio","Rivero","Octavio Rivero","VAN",2015,2898,101,41,17.716773723955,0.118811881188119,10,11.9008816552346,-1.13902174143282,-1.90088165523461,39,23.6487246096917,3,3.32126720106946,-0.321267201069462,15.2221488563041,0.117830511437966,0.0851606974633195,-0.0188206104478674,-0.00823762054024261
"Thierry","Henry","Thierry Henry","NYRB",2012,NA,88,37,21.6036702585341,0.284090909090909,15,8.88231168442092,3.4300974399545,6.11768831557908,57,15.0840714658421,12,6.21626099380155,5.78373900619845,15.0985726782225,0.100935360050238,0.109057210417571,0.0695191854043077,0.101469105371903
"Gyasi","Zardes","Gyasi Zardes","LAG",2014,NA,74,30,15.6044303285811,0.108108108108108,16,11.2068413780538,-0.282439660991807,4.79315862194624,28,20.2959965183929,2,3.5288329206954,-1.5288329206954,14.7356742987492,0.151443802406132,0.126029747167693,0.0647724138100843,-0.0546011757391215
"Alberth","Elis","Alberth Elis","HOU",2017,1737,71,27,16.7397450584891,0.0563380281690141,10,9.79495441278252,0.244767559302955,0.205045587217483,24,17.5114966771514,3,4.90014500837426,-1.90014500837426,14.6950994211568,0.137957104405388,0.204172708682261,0.00288796601714765,-0.0791727086822608
"Will","Bruin","Will Bruin","HOU",2012,NA,78,35,16.8088530332821,0.128205128205128,12,11.1708382570761,0.851965446193041,0.829161742923921,27,20.1105796794815,4,3.49428855209347,0.505711447906531,14.6651268091695,0.143215875090719,0.12941809452198,0.0106302787554349,0.0187300536261678
"Chris","Wondolowski","Chris Wondolowski","SJE",2014,NA,77,36,15.9905056977792,0.181818181818182,14,12.0866042933208,1.62868067833225,1.91339570667923,30,24.1905713563333,5,2.54669938866727,2.45330061133273,14.633303681988,0.156968886926244,0.0848899796222424,0.0248492948919381,0.0817766870444243
"Giovani","dos Santos","Giovani dos Santos","LAG",2016,2471,63,31,20.5316357331659,0.317460317460317,14,8.53919556802745,4.74421132329311,5.46080443197255,42,17.4715468033669,4,6.0205415478989,-2.0205415478989,14.5597371159264,0.135542786794087,0.143346227330926,0.0866794354281357,-0.048108132092831
"Diego","Valeri","Diego Valeri","POR",2013,NA,72,26,23.342684918625,0.305555555555556,10,7.59496332992991,-0.0118921068296096,2.40503667007009,60,16.75825111225,8,6.899703971723,1.100296028277,14.4946673016529,0.105485601804582,0.114995066195383,0.0334032870843068,0.0183382671379501
"Mauro","Diaz","Mauro Diaz","FCD",2015,2043,49,17,23.6936376052766,0.428571428571429,8,7.0744490512813,-0.907132637935453,0.925550948718705,57,17.4439169465876,8,7.35286263084025,0.647137369159745,14.4273116821215,0.144376511250639,0.128997590014741,0.0188887948718103,0.0113532871782411
"Mauro","Diaz","Mauro Diaz","FCD",2016,2254,47,14,27.0787638050667,0.361702127659574,5,5.15021373745005,-0.468166033530342,-0.150213737450049,77,17.7543240282441,10,9.27506305921372,0.724936940786277,14.4252767966638,0.109579015690427,0.120455364405373,-0.00319603696702232,0.00941476546475684
"Miguel","Almiron","Miguel Almiron","ATL",2017,2432,85,36,23.3234425292908,0.294117647058824,9,7.94132771734383,1.23873733632773,1.05867228265617,51,19.4955474617919,8,6.46597892764366,1.53402107235634,14.4073066449875,0.0934273849099274,0.126783900542033,0.012454968031249,0.0300788445560066
"Federico","Higuain","Federico Higuain","CLB",2015,2837,73,28,22.7292080815863,0.438356164383562,8,7.5963925587337,0.381603734622501,0.403607441266304,76,18.2568577103082,5,6.80740713600717,-1.80740713600717,14.4037996947409,0.104060172037448,0.0895711465264101,0.00552886905844252,-0.0237816728421996
"Sacha","Kljestan","Sacha Kljestan","NYRB",2017,2742,41,11,25.3288962904874,0.390243902439024,2,2.76318543865992,0.23180824734819,-0.763185438659918,111,15.84690186779,9,11.6347593272056,-2.63475932720555,14.3979447658655,0.0673947667965834,0.104817651596446,-0.0186142789917053,-0.0237365705153653
"Andrew","Wenger","Andrew Wenger","MTL, PHI",2014,NA,66,27,16.7956639551667,0.166666666666667,7,9.98438257753938,-1.69592748690868,-2.98438257753938,31,18.1002912597419,4,4.33945632456392,-0.339456324563921,14.3238389021033,0.151278523902112,0.139982462082707,-0.0452179178415057,-0.010950204018191
